Filename,Classifier,Feature_Selection,Balancing,Cost_Sensitive,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,Unnamed: 69,Classifier,Feature_Selection,Balancing,Cost_Sensitive
avro_IBk_NoSelection_NoSampling_yesCostSensitive_8.csv,IBk,NoSelection,NoSampling,yesCostSensitive,4,0.0909090909090909,0.2222222222222222,0.1290322580645161,0.0801561705109377,0.8996415770609318,0.3540983606557377,0.0622731358682445,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.5,0.625,0.625,0.625,0.75,0.75,0.875,1.0,1.0,0.3905597326649958,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.5,0.625,0.625,0.625,0.75,0.75,0.875,1.0,1.0,0.325501253132832,0.1428571428571429,0.25,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.625,0.5,0.0,0.0,0.4868421052631579,,IBk,NoSelection,NoSampling,yesCostSensitive
avro_IBk_BestFirst_SMOTE_noCostSensitive_8.csv,IBk,BestFirst,SMOTE,noCostSensitive,6,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1715939886671594,0.9648745519713262,0.3605359317904994,0.1770609318996416,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0,1.0,0.5024018379281537,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0,1.0,0.4415204678362573,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.75,0.7499999999999999,1.0,1.0,0.4502923976608187,,IBk,BestFirst,SMOTE,noCostSensitive
avro_NaiveBayes_NoSelection_NoSampling_noCostSensitive_12.csv,NaiveBayes,NoSelection,NoSampling,noCostSensitive,0,0.4,0.08,0.1333333333333333,0.4262720885671705,0.9587341772151896,0.1479360534478644,0.1285356184313064,0.04,0.08,0.12,0.2,0.32,0.4,0.52,0.56,0.56,0.64,0.68,0.84,0.88,0.88,0.96,0.96,0.96,0.96,1.0,0.5085247752800587,0.04,0.08,0.12,0.2,0.32,0.4,0.52,0.56,0.56,0.64,0.68,0.84,0.88,0.88,0.96,0.96,0.96,0.96,1.0,0.537592542737919,0.0588235294117647,0.0999999999999999,0.1304347826086956,0.2083333333333332,0.32,0.4,0.52,0.56,0.56,0.64,0.68,0.84,0.88,0.8333333333333334,0.8999999999999999,0.8333333333333331,0.7499999999999998,0.0,1.0,0.608421052631579,,NaiveBayes,NoSelection,NoSampling,noCostSensitive
avro_IBk_NoSelection_SMOTE_yesCostSensitive_18.csv,IBk,NoSelection,SMOTE,yesCostSensitive,0,0.525,0.6,0.56,0.43890315502056,0.9561119293078056,0.7206588881262869,0.475807426528979,0.2285714285714285,0.3428571428571428,0.4,0.4857142857142857,0.5428571428571428,0.5714285714285714,0.6285714285714286,0.6857142857142857,0.7428571428571429,0.7714285714285715,0.8285714285714286,0.8857142857142857,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,1.0,0.6657544439278185,0.2285714285714285,0.3428571428571428,0.4,0.4857142857142857,0.5428571428571428,0.5714285714285714,0.6285714285714286,0.6857142857142857,0.7428571428571429,0.7714285714285715,0.8285714285714286,0.8857142857142857,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,1.0,0.699146598585453,0.3333333333333332,0.4444444444444444,0.4666666666666667,0.53125,0.5588235294117647,0.5714285714285714,0.6285714285714286,0.6857142857142857,0.7428571428571429,0.7714285714285715,0.8285714285714286,0.8857142857142857,0.923076923076923,0.9285714285714286,0.8999999999999999,0.8333333333333333,0.75,0.5,1.0,0.7323308270676692,,IBk,NoSelection,SMOTE,yesCostSensitive
avro_IBk_BestFirst_NoSampling_noCostSensitive_6.csv,IBk,BestFirst,NoSampling,noCostSensitive,0,0.4545454545454545,0.2941176470588235,0.3571428571428571,0.4278425132180072,0.581032412965186,0.447906523855891,0.2810484631733541,0.1875,0.25,0.3125,0.3125,0.3125,0.375,0.4375,0.4375,0.4375,0.4375,0.625,0.6875,0.8125,0.875,0.875,0.875,0.9375,0.9375,1.0,0.4768796992481203,0.1875,0.25,0.3125,0.3125,0.3125,0.375,0.4375,0.4375,0.4375,0.4375,0.625,0.6875,0.8125,0.875,0.875,0.875,0.9375,0.9375,1.0,0.3994139761167625,0.3,0.3333333333333333,0.3571428571428571,0.3125,0.3125,0.3529411764705882,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.5882352941176471,0.6470588235294117,0.7333333333333334,0.7,0.5714285714285714,0.4,0.3333333333333333,0.0,0.0,0.5855263157894737,,IBk,BestFirst,NoSampling,noCostSensitive
avro_NaiveBayes_NoSelection_NoSampling_yesCostSensitive_11.csv,NaiveBayes,NoSelection,NoSampling,yesCostSensitive,0,0.52,0.5652173913043478,0.5416666666666666,0.5435906615956854,0.920108695652174,0.7016776075857039,0.4731665946652401,0.391304347826087,0.4782608695652174,0.5217391304347826,0.5652173913043478,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.782608695652174,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9565217391304348,0.9565217391304348,1.0,0.6709050293718486,0.391304347826087,0.4782608695652174,0.5217391304347826,0.5652173913043478,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.782608695652174,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9565217391304348,0.9565217391304348,1.0,0.6729709649618116,0.5,0.55,0.5454545454545454,0.5652173913043478,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.782608695652174,0.9130434782608696,0.8571428571428571,0.7142857142857142,0.7500000000000002,0.0,1.0,0.7368421052631579,,NaiveBayes,NoSelection,NoSampling,yesCostSensitive
avro_NaiveBayes_BestFirst_SMOTE_noCostSensitive_13.csv,NaiveBayes,BestFirst,SMOTE,noCostSensitive,0,0.4545454545454545,0.1612903225806451,0.238095238095238,0.5345352365703738,0.8276898417150873,0.2762923351158645,0.1963637123603037,0.1290322580645161,0.1612903225806451,0.2258064516129032,0.2903225806451613,0.3225806451612903,0.4193548387096774,0.4193548387096774,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.7419354838709677,0.7741935483870968,0.8064516129032258,0.8709677419354839,0.9032258064516128,0.935483870967742,0.967741935483871,0.967741935483871,1.0,0.4824926459837677,0.1290322580645161,0.1612903225806451,0.2258064516129032,0.2903225806451613,0.3225806451612903,0.4193548387096774,0.4193548387096774,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.7419354838709677,0.7741935483870968,0.8064516129032258,0.8709677419354839,0.9032258064516128,0.935483870967742,0.967741935483871,0.967741935483871,1.0,0.5516609817630784,0.1999999999999999,0.217391304347826,0.2692307692307693,0.3103448275862069,0.3333333333333332,0.4193548387096775,0.4193548387096775,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.7419354838709677,0.7741935483870968,0.7692307692307692,0.75,0.7,0.7142857142857141,0.7500000000000002,0.5000000000000009,1.0,0.6078098471986418,,NaiveBayes,BestFirst,SMOTE,noCostSensitive
avro_IBk_NoSelection_SMOTE_noCostSensitive_9.csv,IBk,NoSelection,SMOTE,noCostSensitive,0,0.6363636363636364,0.6,0.6176470588235294,0.5386375309333707,0.9661971830985916,0.7249070631970259,0.5271845997555097,0.4,0.4571428571428571,0.4857142857142857,0.5142857142857142,0.5714285714285714,0.5714285714285714,0.6,0.6571428571428571,0.7142857142857143,0.7714285714285715,0.8571428571428571,0.8857142857142857,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9428571428571428,0.9428571428571428,0.9428571428571428,1.0,0.6574609543525723,0.4,0.4571428571428571,0.4857142857142857,0.5142857142857142,0.5714285714285714,0.5714285714285714,0.6,0.6571428571428571,0.7142857142857143,0.7714285714285715,0.8571428571428571,0.8857142857142857,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9428571428571428,0.9428571428571428,0.9428571428571428,1.0,0.6574609543525723,0.5833333333333334,0.5517241379310345,0.5483870967741935,0.5294117647058822,0.5714285714285714,0.5714285714285714,0.6,0.6571428571428571,0.7142857142857143,0.7714285714285715,0.8571428571428571,0.8857142857142857,0.9142857142857144,0.8421052631578947,0.7272727272727272,0.6666666666666665,0.5,0.0,1.0,0.7398496240601503,,IBk,NoSelection,SMOTE,noCostSensitive
avro_NaiveBayes_NoSelection_NoSampling_yesCostSensitive_12.csv,NaiveBayes,NoSelection,NoSampling,yesCostSensitive,0,0.2857142857142857,0.08,0.125,0.3605433728384548,0.9481012658227846,0.147790388794977,0.0865823692093203,0.04,0.08,0.12,0.2,0.32,0.4,0.52,0.56,0.56,0.64,0.68,0.84,0.88,0.88,0.96,0.96,0.96,0.96,1.0,0.5085247752800587,0.04,0.08,0.12,0.2,0.32,0.4,0.52,0.56,0.56,0.64,0.68,0.84,0.88,0.88,0.96,0.96,0.96,0.96,1.0,0.537592542737919,0.0588235294117647,0.0999999999999999,0.1304347826086956,0.2083333333333332,0.32,0.4,0.52,0.56,0.56,0.64,0.68,0.84,0.88,0.8333333333333334,0.8999999999999999,0.8333333333333331,0.7499999999999998,0.0,1.0,0.608421052631579,,NaiveBayes,NoSelection,NoSampling,yesCostSensitive
avro_NaiveBayes_BestFirst_SMOTE_yesCostSensitive_14.csv,NaiveBayes,BestFirst,SMOTE,yesCostSensitive,0,0.4878048780487805,0.5714285714285714,0.5263157894736842,0.4252276188934361,0.9406196213425128,0.6908874329958308,0.418716969001899,0.2571428571428571,0.3714285714285714,0.4571428571428571,0.5142857142857142,0.5428571428571428,0.6,0.6571428571428571,0.7428571428571429,0.7714285714285715,0.8285714285714286,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,1.0,0.75914708518954,0.2571428571428571,0.3714285714285714,0.4571428571428571,0.5142857142857142,0.5428571428571428,0.6,0.6571428571428571,0.7428571428571429,0.7714285714285715,0.8285714285714286,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,1.0,0.7138741345120934,0.409090909090909,0.5,0.5517241379310345,0.5625,0.5588235294117647,0.6,0.6571428571428571,0.7428571428571429,0.7714285714285715,0.8285714285714286,0.9142857142857144,0.9142857142857144,0.8695652173913043,0.7999999999999999,0.7999999999999999,0.8333333333333333,0.75,0.5,1.0,0.750375939849624,,NaiveBayes,BestFirst,SMOTE,yesCostSensitive
